time;Banddicke;Verzinnungsstation_ Kühlleistung;Bandbreite;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Reglerausgang Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;mm;m/min;mbar;mbar;°C;°C;°C;%;°C
12.06.2026 05:16:38.938787;0,43;5,97513;340;0;0,434028;0,434028;279,737;270,143;269,705;4,19002;270
12.06.2026 05:16:39.938787;0,43;5,98395;340;0;0,289352;0,434028;279,737;270,143;269,705;4,19002;270
12.06.2026 05:16:40.938787;0,43;6,0406;340;0;0,434028;0,434028;279,68;270,022;269,72;5,08025;270
12.06.2026 05:16:41.938787;0,43;6,0406;340;0;0,434028;0,434028;279,68;270,022;269,72;5,08025;270
12.06.2026 05:16:42.938787;0,43;6,04337;340;0;0,289352;0,434028;279,68;270,022;269,72;5,08025;270
12.06.2026 05:16:43.938787;0,43;5,94443;340;0;0,289352;0,434028;279,68;270,022;269,72;5,08025;270
12.06.2026 05:16:44.938787;0,43;6,01041;340;0;0,434028;0,434028;279,689;269,992;269,734;4,78473;270
12.06.2026 05:16:45.938787;0,43;6,0356;340;0;0,289352;0,434028;279,689;269,992;269,734;4,78473;270
12.06.2026 05:16:46.938787;0,43;6,07641;340;0;0,434028;0,434028;279,689;269,992;269,734;4,78473;270
12.06.2026 05:16:47.938787;0,43;6,02567;340;0;0,289352;0,434028;279,689;269,992;269,734;4,78473;270
12.06.2026 05:16:48.938787;0,43;6,01947;340;0;0,289352;0,434028;279,736;269,9;269,747;4,74483;270
12.06.2026 05:16:49.938787;0,43;5,95994;340;0;0,434028;0,434028;279,736;269,9;269,747;4,74483;270
12.06.2026 05:16:50.938787;0,43;5,95116;340;0;0,434028;0,434028;279,736;269,9;269,747;4,74483;270
12.06.2026 05:16:51.938787;0,43;5,9575;340;0;0,289352;0,434028;279,736;269,9;269,747;4,74483;270
12.06.2026 05:16:52.938787;0,43;5,97564;340;0;0,434028;0,434028;279,728;269,997;269,758;4,73915;270
12.06.2026 05:16:53.938787;0,43;6,06168;340;0;0,434028;0,434028;279,728;269,997;269,758;4,73915;270
12.06.2026 05:16:54.938787;0,43;5,97751;340;0;0,289352;0,434028;279,728;269,997;269,758;4,73915;270
12.06.2026 05:16:55.938787;0,43;6,02054;340;0;0,289352;0,434028;279,728;269,997;269,758;4,73915;270
12.06.2026 05:16:56.938787;0,43;5,90321;340;0;0,289352;0,434028;279,773;270,1;269,769;4,73839;270
12.06.2026 05:16:57.938787;0,43;6,01041;340;0;0,289352;0,434028;279,773;270,1;269,769;4,73839;270
12.06.2026 05:16:58.938787;0,43;6,05475;340;0;0,289352;0,434028;279,773;270,1;269,769;4,73839;270
12.06.2026 05:16:59.938787;0,43;6,09196;340;0;0,434028;0,434028;279,773;270,1;269,769;4,73839;270
12.06.2026 05:17:00.938787;0,43;6,03661;340;0;0,289352;0,434028;279,733;270,01;269,773;4,7384;270
12.06.2026 05:17:01.938787;0,43;6,05864;340;0;0,289352;0,434028;279,733;270,01;269,773;4,7384;270
12.06.2026 05:17:02.938787;0,43;6,04843;340;0;0,434028;0,434028;279,733;270,01;269,773;4,7384;270
12.06.2026 05:17:03.938787;0,43;5,99507;340;0;0,289352;0,434028;279,733;270,01;269,773;4,7384;270
12.06.2026 05:17:04.938787;0,43;6,00159;340;0;0,289352;0,434028;279,741;270,11;269,782;4,30838;270
12.06.2026 05:17:05.938787;0,43;6,06108;340;0;0,289352;0,434028;279,741;270,11;269,782;4,30838;270
12.06.2026 05:17:06.938787;0,43;6,08555;340;0;0,289352;0,434028;279,741;270,11;269,782;4,30838;270
12.06.2026 05:17:07.938787;0,43;5,97067;340;0;0,434028;0,434028;279,741;270,11;269,782;4,30838;270
12.06.2026 05:17:08.938787;0,43;6,00411;340;0;0,434028;0,434028;279,771;270,117;269,794;4,70786;270
12.06.2026 05:17:09.938787;0,43;6,08737;340;0;0,434028;0,434028;279,771;270,117;269,794;4,70786;270
12.06.2026 05:17:10.938787;0,43;5,96318;340;0;0,289352;0,434028;279,771;270,117;269,794;4,70786;270
12.06.2026 05:17:11.938787;0,43;5,9007;340;0;0,434028;0,434028;279,771;270,117;269,794;4,70786;270
12.06.2026 05:17:12.938787;0,43;5,97751;340;0;0,289352;0,578704;279,727;270;269,797;4,89174;270
12.06.2026 05:17:13.938787;0,43;5,95368;340;0;0,434028;0,434028;279,727;270;269,797;4,89174;270
12.06.2026 05:17:14.938787;0,43;5,95368;340;0;0,289352;0,434028;279,727;270;269,797;4,89174;270
12.06.2026 05:17:15.938787;0,43;6,06778;340;0;0,289352;0,434028;279,727;270;269,797;4,89174;270
12.06.2026 05:17:16.938787;0,43;6,02263;340;0;0,434028;0,434028;279,722;270,057;269,799;4,75549;270
12.06.2026 05:17:17.938787;0,43;5,99353;340;0;0,434028;0,434028;279,722;270,057;269,799;4,75549;270
12.06.2026 05:17:18.938787;0,43;5,957;340;0;0,434028;0,434028;279,722;270,057;269,799;4,75549;270
12.06.2026 05:17:19.938787;0,43;6,01302;340;0;0,289352;0,434028;279,722;270,057;269,799;4,75549;270
12.06.2026 05:17:20.938787;0,43;6,0239;340;0;0,434028;0,434028;279,738;270;269,81;4,73733;270
12.06.2026 05:17:21.938787;0,43;6,05;340;0;0,434028;0,434028;279,738;270;269,81;4,73733;270
12.06.2026 05:17:22.938787;0,43;5,95343;340;0;0,434028;0,434028;279,738;270;269,81;4,73733;270
12.06.2026 05:17:23.938787;0,43;6,03477;340;0;0,289352;0,434028;279,738;270;269,81;4,73733;270
12.06.2026 05:17:24.938787;0,43;5,94018;340;0;0,289352;0,434028;279,799;270,098;269,825;4,7348;270
12.06.2026 05:17:25.938787;0,43;6,01947;340;0;0,289352;0,434028;279,799;270,098;269,825;4,7348;270
12.06.2026 05:17:26.938787;0,43;6,0482;340;0;0,289352;0,434028;279,799;270,098;269,825;4,7348;270
12.06.2026 05:17:27.938787;0,43;6,02567;340;0;0,289352;0,434028;279,799;270,098;269,825;4,7348;270
12.06.2026 05:17:28.938787;0,43;5,95994;340;0;0,289352;0,434028;279,851;270,04;269,839;4,73457;270
12.06.2026 05:17:29.938787;0,43;5,95994;340;0;0,289352;0,434028;279,851;270,04;269,839;4,73457;270
12.06.2026 05:17:30.938787;0,43;5,99558;340;0;0,289352;0,434028;279,851;270,04;269,839;4,73457;270
12.06.2026 05:17:31.938787;0,43;5,94005;340;0;0,434028;0,434028;279,851;270,04;269,839;4,73457;270
12.06.2026 05:17:32.938787;0,43;6,0162;340;0;0,434028;0,434028;279,888;270;269,854;4,73452;270
12.06.2026 05:17:33.938787;0,43;6,04337;340;0;0,289352;0,434028;279,888;270;269,854;4,73452;270
12.06.2026 05:17:34.938787;0,43;5,98992;340;0;0,289352;0,434028;279,888;270;269,854;4,73452;270
12.06.2026 05:17:35.938787;0,43;6,06752;340;0;0,289352;0,434028;279,888;270;269,854;4,73452;270
12.06.2026 05:17:36.938787;0,43;6,03427;340;0;0,434028;0,434028;279,914;270,068;269,863;4,73444;270
12.06.2026 05:17:37.938787;0,43;5,9837;340;0;0,289352;0,434028;279,914;270,068;269,863;4,73444;270
12.06.2026 05:17:38.938787;0,43;5,98017;340;0;0,434028;0,434028;279,914;270,068;269,863;4,73444;270
12.06.2026 05:17:39.938787;0,43;5,94843;340;0;0,289352;0,434028;279,914;270,068;269,863;4,73444;270
12.06.2026 05:17:40.938787;0,43;5,96268;340;0;0,434028;0,434028;279,9;270,1;269,856;4,73445;270
12.06.2026 05:17:41.938787;0,43;5,99532;340;0;0,289352;0,434028;279,9;270,1;269,856;4,73445;270
12.06.2026 05:17:42.938787;0,43;6,09461;340;0;0,289352;0,434028;279,9;270,1;269,856;4,73445;270
12.06.2026 05:17:43.938787;0,43;6,02112;340;0;0,434028;0,434028;279,9;270,1;269,856;4,73445;270
12.06.2026 05:17:44.938787;0,43;6,0162;340;0;0,289352;0,434028;279,876;270,087;269,844;4,73448;270
12.06.2026 05:17:45.938787;0,43;6,00587;340;0;0,289352;0,434028;279,876;270,087;269,844;4,73448;270
12.06.2026 05:17:46.938787;0,43;5,98203;340;0;0,289352;0,434028;279,876;270,087;269,844;4,73448;270
12.06.2026 05:17:47.938787;0,43;6,48397;340;0;0,289352;0,434028;279,876;270,087;269,844;4,73448;270
12.06.2026 05:17:48.938787;0,43;6,45145;340;0;0,434028;0,434028;279,852;270,138;269,83;4,03255;270
12.06.2026 05:17:49.938787;0,43;6,4598;340;0;0,289352;0,434028;279,852;270,138;269,83;4,03255;270
12.06.2026 05:17:50.938787;0,43;6,43603;340;0;0,434028;0,434028;279,852;270,138;269,83;4,03255;270
12.06.2026 05:17:51.938787;0,43;6,42519;340;0;0,289352;0,434028;279,852;270,138;269,83;4,03255;270
12.06.2026 05:17:52.938787;0,43;6,56592;340;0;0,289352;0,434028;279,845;269,965;269,812;5,15846;270
12.06.2026 05:17:53.938787;0,43;6,42168;340;0;0,289352;0,578704;279,845;269,965;269,812;5,15846;270
12.06.2026 05:17:54.938787;0,43;6,49212;340;0;0,434028;0,434028;279,845;269,965;269,812;5,15846;270
12.06.2026 05:17:55.938787;0,43;6,35531;340;0;0,434028;0,434028;279,845;269,965;269,812;5,15846;270
12.06.2026 05:17:56.938787;0,43;6,47457;340;0;0,289352;0,578704;279,826;269,93;269,788;4,78929;270
12.06.2026 05:17:57.938787;0,43;6,41198;340;0;0,289352;0,434028;279,826;269,93;269,788;4,78929;270
12.06.2026 05:17:58.938787;0,43;6,48384;340;0;0,289352;0,434028;279,826;269,93;269,788;4,78929;270
12.06.2026 05:17:59.938787;0,43;6,43657;340;0;0,289352;0,434028;279,826;269,93;269,788;4,78929;270
12.06.2026 05:18:00.938787;0,43;6,4647;340;0;0,289352;0,434028;279,764;270,015;269,767;4,73928;270
12.06.2026 05:18:01.938787;0,43;6,42357;340;0;0,289352;0,434028;279,764;270,015;269,767;4,73928;270
12.06.2026 05:18:02.938787;0,43;6,5032;340;0;0,289352;0,434028;279,764;270,015;269,767;4,73928;270
12.06.2026 05:18:03.938787;0,43;6,40031;340;0;0,289352;0,434028;279,764;270,015;269,767;4,73928;270
12.06.2026 05:18:04.938787;0,43;6,4436;340;0;0,289352;0,434028;279,789;270,11;269,749;4,55565;270
12.06.2026 05:18:05.938787;0,43;6,44325;340;0;0,289352;0,434028;279,789;270,11;269,749;4,55565;270
12.06.2026 05:18:06.938787;0,43;6,39734;340;0;0,434028;0,434028;279,789;270,11;269,749;4,55565;270
12.06.2026 05:18:07.938787;0,43;6,43603;340;0;0,434028;0,434028;279,789;270,11;269,749;4,55565;270
12.06.2026 05:18:08.938787;0,43;6,49592;340;0;0,434028;0,434028;279,808;270,432;269,738;0,589659;270
12.06.2026 05:18:09.938787;0,43;6,49365;340;0;0,289352;0,434028;279,808;270,432;269,738;0,589659;270
12.06.2026 05:18:10.938787;0,43;6,43603;340;0;0,434028;0,434028;279,808;270,432;269,738;0,589659;270
12.06.2026 05:18:11.938787;0,43;6,45496;340;0;0,289352;0,434028;279,808;270,432;269,738;0,589659;270
12.06.2026 05:18:12.938787;0,43;6,50787;340;0;0,289352;0,434028;279,646;270,33;269,729;4,80394;270
12.06.2026 05:18:13.938787;0,43;6,40162;340;0;0,289352;0,578704;279,646;270,33;269,729;4,80394;270
12.06.2026 05:18:14.938787;0,43;6,46416;340;0;0,434028;0,434028;279,646;270,33;269,729;4,80394;270
12.06.2026 05:18:15.938787;0,43;6,56592;340;0;0,289352;0,434028;279,646;270,33;269,729;4,80394;270
12.06.2026 05:18:16.938787;0,43;6,47802;340;0;0,289352;0,434028;279,276;270,083;269,72;6,30928;270
12.06.2026 05:18:17.938787;0,43;6,38262;340;0;0,434028;0,434028;279,276;270,083;269,72;6,30928;270
12.06.2026 05:18:18.938787;0,43;6,40255;340;0;0,289352;0,434028;279,276;270,083;269,72;6,30928;270
12.06.2026 05:18:19.938787;0,43;6,35007;340;0;0,289352;0,434028;279,276;270,083;269,72;6,30928;270
12.06.2026 05:18:20.938787;0,43;6,39733;340;0;0,289352;0,434028;279,012;270,148;269,712;4,31293;270
12.06.2026 05:18:21.938787;0,43;6,46224;340;0;0,434028;0,434028;279,012;270,148;269,712;4,31293;270
12.06.2026 05:18:22.938787;0,43;6,43603;340;0;0,289352;0,434028;279,012;270,148;269,712;4,31293;270
12.06.2026 05:18:23.938787;0,43;6,44999;340;0;0,289352;0,434028;279,012;270,148;269,712;4,31293;270
12.06.2026 05:18:24.938787;0,43;6,44271;340;0;0,434028;0,434028;279,045;269,918;269,704;5,63129;270
12.06.2026 05:18:25.938787;0,43;6,46957;340;0;0,289352;0,434028;279,045;269,918;269,704;5,63129;270
