time;Banddicke;Verzinnungsstation: Durchflussmenge;Verzinnungsstation: Rücklauftemperatur;Verzinnungsstation: Kühlleistung;Verzinnungsstation FU: Durchflussmenge;Verzinnungsstation FU: Rücklauftemperatur;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Laufprogramm Online Zinnbad / Anlagenstartwert Rezept;Laufprogramm Online Zinnbad / Anlagenstartwert korrigiert;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;MON Verzinnungseinheit Verzinnungsstation Ofen 1 aktiv;MON Verzinnungseinheit Verzinnungsstation Ofen 2 aktiv;Legierung;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel;Hubtraverse unten;Bandtransport
122;0.4;51.8316;26.1;20.5137;40.0897;24.4;102;318.359;274.023;269;360;272;272;312.789;312.645;60;268.98;1;0;;;2430.66;1;1
123;0.4;52.1383;26.1;20.6897;40.081;24.4;114;317.867;274.052;269;360;272;272;312.789;312.645;60;268.976;1;0;;;2430.66;1;1
124;0.4;52.0341;26.2;20.9289;39.9711;24.4;122;317.549;274.06;269;360;272;272;312.789;312.5;60;268.973;1;0;;;2430.02;1;1
125;0.4;52.1354;26.2;21.0061;40.0897;24.3;132;316.913;274.06;269;360;272;272;312.789;312.5;60;268.968;1;0;"KHP7025     ";;2428.75;1;1
126;0.4;51.9329;26.2;20.9608;39.9884;24.3;142;316.45;274.06;269;360;272;272;312.789;312.5;60;268.966;1;0;;;2428.75;1;1
127;0.4;52.1181;26.3;21.4076;39.9884;24.3;152;315.683;274.067;269;360;272;272;312.789;312.5;60;268.959;1;0;;;2428.12;1;1
128;0.4;51.8316;26.3;21.3804;39.783;24.2;162;315.336;274.161;269;360;272;272;312.645;312.5;60;268.955;1;0;;;2426.85;1;1
129;0.4;51.8316;26.3;21.3986;39.7859;24.2;180;314.569;274.074;269;360;272;272;312.645;312.5;60;268.954;1;0;;;2426.85;1;1
130;0.4;51.8316;26.3;21.3442;39.9595;24.2;196;314.222;274.074;269;360;272;272;312.645;312.5;60;268.952;1;0;;;2426.24;1;1
131;0.4;51.9329;26.3;21.4404;39.7859;24.1;213;313.628;274.074;269;360;272;272;312.645;312.355;60;268.95;1;0;;;2426.24;1;1
132;0.4;52.0747;26.3;21.5535;39.8293;24.1;225;313.715;274.052;269;360;272;272;312.645;312.5;60;268.944;1;0;;;2426.24;1;1
133;0.4;52.1354;26.3;21.6515;39.9884;24.1;236;313.44;274.052;269;360;272;272;312.645;312.5;60;268.936;1;0;;;2426.24;1;1
134;0.4;52.0341;26.4;21.89;40.0926;24;240;313.368;274.052;269;360;272;272;312.645;312.5;60;268.925;1;0;;;2425.77;1;1
135;0.4;51.9329;26.4;21.9018;40.0897;24;253;312.601;274.052;269;360;272;272;312.645;312.5;60;268.904;1;0;;;2425.77;1;1
136;0.4;52.0341;26.4;21.9809;39.7743;24;268;312.529;274.052;269;360;272;272;312.645;312.5;60;268.889;1;0;;;2424.5;1;1
137;0.4;51.7274;26.4;21.8333;39.5804;23.9;279;312.167;274.06;269;360;272;272;312.645;312.5;60;268.872;1;0;;;2421.97;1;1
138;0.4;51.603;26.4;21.7807;39.6817;23.9;279;312.269;274.06;269;360;272;272;312.645;312.5;60;268.858;1;0;;;2421.43;1;1
139;0.4;51.6291;26.4;21.8819;39.8872;23.9;285;312.384;274.074;269;360;272;272;312.645;312.5;60;268.845;1;0;;;2421.43;1;1
140;0.4;51.7274;26.4;21.9417;39.8872;23.9;293;312.428;274.4;269;360;272;272;312.789;312.355;60;268.837;1;0;;;2420.79;1;1
141;0.4;51.8316;26.3;21.634;39.7714;23.9;300;312.341;274.392;269;360;272;272;312.789;312.5;60;268.833;1;0;;;2419.53;1;1
142;0.4;51.9329;26.3;21.7307;39.6962;23.8;301;312.529;274.385;269;360;272;272;312.645;312.5;60;268.829;1;0;;;2413.2;1;1
143;0.4;51.7274;26.3;21.6809;39.6962;23.8;300;312.486;274.378;269;360;272;272;312.645;312.5;60;268.826;1;0;;;2411.3;1;1
144;0.4;51.6638;26.3;21.6903;39.783;23.8;299;312.428;274.371;269;360;272;272;312.645;312.5;60;268.825;1;0;;;2411.3;1;1
145;0.4;52.0341;26.3;21.8276;39.9884;23.8;301;313.267;274.356;269;360;272;272;312.789;312.645;60;268.829;1;0;;;2411.3;1;1
146;0.4;51.8287;26.3;21.7595;39.8872;23.8;297;313.411;274.356;269;360;272;272;312.789;312.5;60;268.837;1;0;;;2410.04;1;1
147;0.4;51.9994;26.3;21.8857;39.8872;23.8;284;313.44;274.378;269;360;272;272;312.789;312.5;60;268.848;1;0;;;2409.41;1;1
148;0.4;52.1354;26.3;21.9247;39.7859;23.8;282;313.585;274.4;269;360;272;272;312.789;312.5;60;268.86;1;0;;;2408.77;1;1
149;0.4;52.1788;26.3;21.9795;39.6817;23.8;279;313.513;274.4;269;360;272;272;312.645;312.355;60;268.87;1;0;;;2407.93;1;1
150;0.4;51.9502;26.3;21.9195;39.6817;23.8;269;314.265;274.385;269;360;272;272;312.645;312.5;60;268.879;1;0;;;2406.04;1;1
151;0.4;51.8316;26.3;21.9056;39.783;23.8;257;314.251;274.725;269;360;272;272;312.645;312.5;60;268.896;1;0;;;2406.04;1;1
152;0.4;51.6059;26.3;21.8283;39.9884;23.8;252;314.641;274.703;269;360;272;272;312.645;312.5;60;268.909;1;0;;;2406.04;1;1
153;0.4;51.8316;26.3;21.8875;39.8872;23.8;240;314.728;274.718;269;360;272;272;312.645;312.5;60;268.927;1;0;;;2405.64;1;1
154;0.4;51.9329;26.3;21.9666;39.783;23.8;230;315.437;274.703;269;360;272;272;312.645;312.5;60;268.946;1;0;;;2404.38;1;1
155;0.4;52.2396;26.3;22.1328;39.8872;23.8;223;315.365;274.703;269;360;272;272;312.645;312.5;60;268.958;1;0;;;2401.22;1;1
156;0.4;51.93;26.3;21.9835;39.783;23.8;220;315.292;274.703;269;360;272;272;312.645;312.5;60;268.971;1;0;;;2400.59;1;1
157;0.4;52.0284;26.3;21.9888;39.6441;23.8;210;315.263;274.646;269;360;272;272;312.645;312.5;60;268.982;1;0;;;2399.96;1;1
158;0.4;51.8374;26.3;21.9805;39.7859;23.8;204;315.509;274.689;269;360;272;272;312.789;312.5;60;268.99;1;0;;;2399.96;1;1
