Time;[11:7];[31:48];[31:110];[31:112];[31:115];[32:1];[32:80];[32:85];[32:124];[33:108];[ChannelInfoFieldText([10:1], "$PDA_expression")]_text;[Bandlänge auf Abhaspel]
time;Banddicke;Ofenleistung;Wannentemperatur außen;Wannentemperatur innen;Solltemperatur unter Zinnbadrolle;Bandbreite;Abblasung OS Luftdruck;Abblasung US Luftdruck;Bandgeschwindigkeit;Temperatur unter Zinnbadrolle;ChannelInfoFieldText([10:1], "$PDA_expression");Bandlänge auf Abhaspel
sec;mm;kW;°C;°C;°C;mm;mbar;mbar;m/min;°C;;m
13;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;"(( Pi() / ([11:7] * 0.001)) * (Pow(0.5 * [3:10], 2) - Pow(0.5 * 0.48, 2))) / [32:124]";nan
2505;0,5;140;291,855;265,126;275,2;340;0,289352;0,289352;0;264,945;;-7,76524
2506;0,5;140;291,927;265,126;275,2;340;0,289352;0,289352;0;264,952;;-7,76524
2507;0,5;139;291,782;265,227;275,2;340;0,289352;0,289352;0;264,957;;-7,76524
2508;0,5;139;291,753;265,205;275,2;340;0,289352;0,289352;0;264,963;;-7,76524
2509;0,5;140;292,39;265,22;275,2;340;0,289352;0,289352;0;264,967;;-7,76524
2510;0,5;139;291,942;265,198;275,2;340;0,289352;0,289352;0;264,971;;-7,76524
2511;0,5;140;291,97;265,169;275,2;340;0,289352;0,289352;0;264,98;;-7,76524
2512;0,5;140;292,072;265,148;275,2;340;0,289352;0,289352;0;264,993;;-7,76524
2513;0,5;140;292,679;265,148;275,2;340;0,289352;0,289352;0;265,005;;-7,76524
2514;0,5;139;292,723;265,198;275,2;340;0,289352;0,289352;0;265,016;;-7,76524
2515;0,5;139;292,231;265,191;275,2;340;0,289352;0,289352;0;265,032;;-7,76524
2516;0,5;140;292,506;265,22;275,2;340;0,289352;0,289352;0;265,046;;-7,76524
2517;0,5;140;292,173;265,213;275,2;340;0,289352;0,289352;0;265,064;;-7,76524
2518;0,5;139;292,043;265,191;275,2;340;0,289352;0,289352;0;265,079;;-7,76524
2519;0,5;140;292,723;265,169;275,2;340;0,289352;0,289352;0;265,096;;-7,76524
2520;0,5;139;292,839;265,155;275,2;340;0,289352;0,289352;0;265,115;;-7,76524
2521;0,5;140;292,925;265,14;275,2;340;0,289352;0,289352;0;265,136;;-7,76524
2522;0,5;140;292,954;265,133;275,2;340;0,289352;0,289352;0;265,155;;-7,76524
