Time;[11:7];[31:42];[31:47];[32:1];[32:90];[32:124];[33:142];[33:146];[33:337];[33:338];[33:339];[33:340];[33:341];[33:342];[33:343];[33:344];[33:345]
time;Banddicke;Verzinnungsstation_ Kühlleistung;Verzinnungsstation FU_ Kühlleistung;Bandbreite;Düsendruck;Bandgeschwindigkeit;Düsendruck Bandoberseite;Düsendruck Bandunterseite;Wannentemperatur außen (WSP);Zinnbadtemperatur Wanne (WSP);Temperatur unter der Zinnbadrolle 1 (WSP);Temperatur unter der Zinnbadrolle 2 (WSP);Reglerausgang Y-Out (WSP);P-Anteil von Y-Out (WSP);I-Anteil von Y-Out (WSP);D-Anteil von Y-Out (WSP);Wirksame Soll-Temperatur (WSP)
sec;mm;kW;kW;mm;mbar;m/min;mbar;mbar;°C;°C;°C;°C;%;%;%;%;°C
60;0,6;14,3541;10,3554;343;380;0;0,289352;0,434028;292,341;285,525;279,38;279;0;-42,1125;9,36221;-0,346383;277
61;0,6;14,2074;10,2226;343;380;0;0,289352;0,434028;292,341;285,525;279,38;279;0;-42,1125;9,36221;-0,346383;277
62;0,6;14,2628;10,2919;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
63;0,6;14,3109;10,3938;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
64;0,6;14,3287;10,3347;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
65;0,6;14,3079;10,3554;343;380;0;0,289352;0,434028;292,269;285,6;279,362;279;0;-42,5;9,36221;-0,535323;277
66;0,6;14,1327;10,3093;343;380;0;0,289352;0,434028;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
67;0,6;14,2872;10,2945;343;380;0;0,289352;0,434028;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
68;0,6;14,3871;10,3518;343;380;0;0,289352;0,578704;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
69;0,6;14,2652;10,3152;343;380;0;0,289352;0,434028;292,203;285,6;279,352;279,073;0;-42,5;9,36221;-0,240115;277
70;0,6;14,2468;10,3132;343;380;0;0,289352;0,434028;292,13;285,6;279,352;279,168;0;-42,5;9,36221;-0,109203;277
71;0,6;14,2451;10,2595;343;380;0;0,289352;0,434028;292,13;285,6;279,352;279,168;0;-42,5;9,36221;-0,109203;277
72;0,6;14,3151;10,3319;343;380;0;0,289352;0,434028;292,13;285,6;279,352;279,168;0;-42,5;9,36221;-0,109203;277
73;0,6;14,3888;10,2905;343;380;0;0,289352;0,434028;292,13;285,6;279,352;279,168;0;-42,5;9,36221;-0,109203;277
74;0,6;14,3989;10,3515;343;380;0;0,289352;0,434028;292,084;285,51;279,365;279,333;0;-42,05;9,36221;0,482846;277
75;0,6;14,5041;10,4669;343;380;0;0,289352;0,434028;292,084;285,51;279,365;279,333;0;-42,05;9,36221;0,482846;277
76;0,6;14,3519;10,4315;343;380;0;0,434028;0,434028;292,084;285,51;279,365;279,333;0;-42,05;9,36221;0,482846;277
77;0,6;14,2486;10,3535;343;380;0;0,289352;0,434028;292,084;285,51;279,365;279,333;0;-42,05;9,36221;0,482846;277
78;0,6;14,2241;10,3106;343;380;0;0,289352;0,434028;292,019;285,362;279,389;279,46;0;-41,325;9,36221;1,02538;277
79;0,6;14,1079;10,3132;343;380;0;0,289352;0,434028;292,019;285,362;279,389;279,46;0;-41,325;9,36221;1,02538;277
80;0,6;14,1765;10,3314;343;380;0;0,434028;0,434028;292,019;285,362;279,389;279,46;0;-41,325;9,36221;1,02538;277
81;0,6;14,3185;10,3293;343;380;0;0,289352;0,434028;292,019;285,362;279,389;279,46;0;-41,325;9,36221;1,02538;277
82;0,6;14,3181;10,3858;343;380;0;0,289352;0,434028;292,003;285,265;279,416;279,5;0,0358659;-40,8251;9,33705;1,01078;277
83;0,6;14,2605;10,3127;343;380;0;0,289352;0,434028;292,003;285,265;279,416;279,5;0,0358659;-40,8251;9,33705;1,01078;277
84;0,6;14,3329;10,2899;343;380;0;0,289352;0,434028;292,003;285,265;279,416;279,5;0,0358659;-40,8251;9,33705;1,01078;277
85;0,6;14,3428;10,3468;343;380;0;0,434028;0,434028;292,003;285,265;279,416;279,5;0,0358659;-40,8251;9,33705;1,01078;277
86;0,6;14,3624;10,3447;343;380;0;0,289352;0,434028;291,906;285,26;279,434;279,4;0;-40,7876;9,24881;0,398709;277
87;0,6;14,2861;10,3615;343;380;0;0,289352;0,434028;291,906;285,26;279,434;279,4;0;-40,7876;9,24881;0,398709;277
88;0,6;14,2593;10,2861;343;380;0;0,434028;0,434028;291,906;285,26;279,434;279,4;0;-40,7876;9,24881;0,398709;277
89;0,6;14,2796;10,3058;343;380;0;0,289352;0,578704;291,906;285,26;279,434;279,4;0;-40,7876;9,24881;0,398709;277
90;0,6;14,2169;10,3526;343;380;0;0,434028;0,434028;291,828;285,348;279,434;279,213;0;-41,2375;9,24881;-0,317601;277
91;0,6;14,239;10,326;343;380;0;0,434028;0,578704;291,828;285,348;279,434;279,213;0;-41,2375;9,24881;-0,317601;277
92;0,6;14,1928;10,2479;343;380;0;0,289352;0,434028;291,828;285,348;279,434;279,213;0;-41,2375;9,24881;-0,317601;277
93;0,6;14,401;10,3988;343;380;0;0,289352;0,434028;291,828;285,348;279,434;279,213;0;-41,2375;9,24881;-0,317601;277
94;0,6;14,4367;10,4389;343;380;0;0,289352;0,578704;291,768;285,533;279,413;278,983;0;-42,1625;9,24881;-1,17399;277
95;0,6;14,4509;10,4008;343;380;0;0,289352;0,434028;291,768;285,533;279,413;278,983;0;-42,1625;9,24881;-1,17399;277
96;0,6;14,409;10,3858;343;380;0;0,289352;0,434028;291,768;285,533;279,413;278,983;0;-42,1625;9,24881;-1,17399;277
97;0,6;14,4322;10,4619;343;380;0;0,289352;0,434028;291,768;285,533;279,413;278,983;0;-42,1625;9,24881;-1,17399;277
98;0,6;14,5213;10,422;343;380;0;0,289352;0,434028;291,654;285,685;279,375;278,77;0;-42,9251;9,24881;-1,32744;277
99;0,6;14,4281;10,3852;343;380;0;0,289352;0,434028;291,654;285,685;279,375;278,77;0;-42,9251;9,24881;-1,32744;277
100;0,6;14,3948;10,4011;343;380;0;0,289352;0,434028;291,654;285,685;279,375;278,77;0;-42,9251;9,24881;-1,32744;277
101;0,6;14,3636;10,3858;343;380;0;0,289352;0,434028;291,654;285,685;279,375;278,77;0;-42,9251;9,24881;-1,32744;277
102;0,6;14,4096;10,4281;343;380;0;0,289352;0,434028;291,589;285,7;279,325;278,64;0;-43,0001;9,24881;-0,660698;277
103;0,6;14,5458;10,4192;343;380;0;0,289352;0,434028;291,589;285,7;279,325;278,64;0;-43,0001;9,24881;-0,660698;277
104;0,6;14,3126;10,4424;343;380;0;0,289352;0,434028;291,589;285,7;279,325;278,64;0;-43,0001;9,24881;-0,660698;277
105;0,6;14,3178;10,4851;343;380;0;0,434028;0,434028;291,589;285,7;279,325;278,64;0;-43,0001;9,24881;-0,660698;277
106;0,6;14,3911;10,4084;343;380;0;0,434028;0,434028;291,555;285,57;279,274;278,615;0;-42,35;9,24881;0,477229;277
107;0,6;14,3108;10,7562;343;380;0;0,434028;0,434028;291,555;285,57;279,274;278,615;0;-42,35;9,24881;0,477229;277
108;0,6;14,4163;10,8192;343;380;0;0,434028;0,434028;291,555;285,57;279,274;278,615;0;-42,35;9,24881;0,477229;277
109;0,6;14,4962;10,7752;343;380;0;0,289352;0,434028;291,555;285,57;279,274;278,615;0;-42,35;9,24881;0,477229;277
110;0,6;14,4304;10,7995;343;380;0;0,289352;0,434028;291,495;285,432;279,229;278,713;0;-41,675;9,24881;0,943103;277
111;0,6;14,4549;10,7183;343;380;0;0,289352;0,434028;291,495;285,432;279,229;278,713;0;-41,675;9,24881;0,943103;277
112;0,6;14,5242;10,7316;343;380;0;0,289352;0,578704;291,495;285,432;279,229;278,713;0;-41,675;9,24881;0,943103;277
113;0,6;14,5697;10,8135;343;380;0;0,289352;0,434028;291,495;285,432;279,229;278,713;0;-41,675;9,24881;0,943103;277
114;0,6;14,4367;10,8318;343;380;0;0,434028;0,434028;291,447;285,29;279,195;278,823;0,0324392;-40,9626;9,24562;1,18619;277
115;0,6;14,3489;10,7392;343;380;0;0,289352;0,434028;291,447;285,29;279,195;278,823;0,0324392;-40,9626;9,24562;1,18619;277
116;0,6;14,3699;10,674;343;380;-0,9472;0,289352;0,434028;291,447;285,29;279,195;278,823;0,0324392;-40,9626;9,24562;1,18619;277
117;0,6;14,348;10,6356;343;380;-9,9872;0,289352;0,434028;291,447;285,29;279,195;278,823;0,0324392;-40,9626;9,24562;1,18619;277
118;0,6;14,4292;10,7316;343;380;-7,536;0,289352;0,434028;291,37;285,2;279,174;278,9;0,00783534;-40,5001;9,13824;1,00457;277
119;0,6;14,2637;10,6775;343;380;0;0,289352;0,434028;291,37;285,2;279,174;278,9;0,00783534;-40,5001;9,13824;1,00457;277
120;0,6;14,3029;10,7895;343;380;0;0,289352;0,578704;291,37;285,2;279,174;278,9;0,00783534;-40,5001;9,13824;1,00457;277
121;0,6;14,3578;10,7762;343;380;0;0,289352;0,434028;291,37;285,2;279,174;278,9;0,00783534;-40,5001;9,13824;1,00457;277
122;0,6;14,2886;10,713;343;380;0;0,289352;0,434028;291,344;285,2;279,163;278,975;0;-40,5001;9,1354;0,450346;277
123;0,6;14,3258;10,6752;343;380;0;0,289352;0,434028;291,344;285,2;279,163;278,975;0;-40,5001;9,1354;0,450346;277
124;0,6;14,2892;10,6716;343;380;0;0,289352;0,434028;291,344;285,2;279,163;278,975;0;-40,5001;9,1354;0,450346;277
125;0,6;14,2819;10,6746;343;380;0;0,289352;0,434028;291,344;285,2;279,163;278,975;0;-40,5001;9,1354;0,450346;277
126;0,6;14,2238;10,7051;343;380;0;0,289352;0,434028;291,229;285,223;279,159;279;0;-40,6126;9,1354;0,0374623;277
127;0,6;14,419;10,7743;343;380;0;0,289352;0,434028;291,229;285,223;279,159;279;0;-40,6126;9,1354;0,0374623;277
128;0,6;14,4184;10,7953;343;380;0;0,289352;0,434028;291,229;285,223;279,159;279;0;-40,6126;9,1354;0,0374623;277
129;0,6;14,4157;10,7544;343;380;0;0,289352;0,434028;291,229;285,223;279,159;279;0;-40,6126;9,1354;0,0374623;277
130;0,6;14,4649;10,8767;343;380;0;0,289352;0,434028;291,14;285,378;279,161;279;0;-41,3875;9,1354;-0,895128;277
131;0,6;14,3906;10,7597;343;380;0;0,289352;0,434028;291,14;285,378;279,161;279;0;-41,3875;9,1354;-0,895128;277
132;0,6;14,5037;10,7527;343;380;0;0,289352;0,578704;291,14;285,378;279,161;279;0;-41,3875;9,1354;-0,895128;277
133;0,6;14,2862;10,6859;343;380;0;0,144676;0,578704;291,14;285,378;279,161;279;0;-41,3875;9,1354;-0,895128;277
134;0,6;11,9746;8,65236;343;380;0;0,144676;0,434028;291,076;285,575;279,168;279;0;-42,375;9,1354;-1,4486;277
135;0,6;10,5218;8,30927;343;380;0;0,289352;0,434028;291,076;285,575;279,168;279;0;-42,375;9,1354;-1,4486;277
136;0,6;10,1823;8,06492;343;380;0;0,144676;0,434028;291,076;285,575;279,168;279;0;-42,375;9,1354;-1,4486;277
137;0,6;10,102;7,86997;343;380;0;0,289352;0,434028;291,076;285,575;279,168;279;0;-42,375;9,1354;-1,4486;277
138;0,6;10,1911;7,8464;343;380;0;0,289352;0,434028;291,021;285,62;279,181;278,995;0;-42,5875;9,1354;-0,883349;277
139;0,6;10,1788;7,81221;343;380;0;0,289352;0,434028;291,021;285,62;279,181;278,995;0;-42,5875;9,1354;-0,883349;277
140;0,6;10,2213;7,75113;343;380;0;0,289352;0,434028;291,021;285,62;279,181;278,995;0;-42,5875;9,1354;-0,883349;277
141;0,6;10,264;7,74585;343;380;0;0,289352;0,434028;291,021;285,62;279,181;278,995;0;-42,5875;9,1354;-0,883349;277
142;0,6;10,2935;7,75909;343;380;0;0,144676;0,289352;290,959;285,9;279,179;278,785;0;-43,9375;9,1354;-2,05411;277
143;0,6;10,2552;7,7749;343;380;0;0,289352;0,434028;290,959;285,9;279,179;278,785;0;-43,9375;9,1354;-2,05411;277
144;0,6;10,2213;7,79125;343;380;0;0,144676;0,434028;290,959;285,9;279,179;278,785;0;-43,9375;9,1354;-2,05411;277
145;0,6;10,2195;7,79066;343;380;0;0,144676;0,434028;290,959;285,9;279,179;278,785;0;-43,9375;9,1354;-2,05411;277
146;0,6;10,1955;7,76072;343;380;0;0,289352;0,434028;290,854;286,625;279,14;278,443;0;-47,575;9,1354;-4,91844;277
147;0,6;10,2329;8,01665;343;380;0;0,289352;0,434028;290,854;286,625;279,14;278,443;0;-47,575;9,1354;-4,91844;277
148;0,6;10,2589;8,00295;343;380;0;0,289352;0,434028;290,854;286,625;279,14;278,443;0;-47,575;9,1354;-4,91844;277
149;0,6;10,3333;8,03771;343;380;0;0,144676;0,434028;290,854;286,625;279,14;278,443;0;-47,575;9,1354;-4,91844;277
150;0,6;10,2207;8,05532;343;380;0;0,289352;0,434028;290,782;286,633;279,064;278,128;0;-47,675;9,1354;-1,93729;277
151;0,6;10,1308;8,04549;343;380;0;5,93171;17,5058;290,782;286,633;279,064;278,128;0;-47,675;9,1354;-1,93729;277
152;0,6;10,1856;8,03724;343;380;0;100,839;88,6863;290,782;286,633;279,064;278,128;0;-47,675;9,1354;-1,93729;277
153;0,6;10,2416;8,07693;343;380;0;146,123;142,361;290,782;286,633;279,064;278,128;0;-47,675;9,1354;-1,93729;277
154;0,6;10,1861;8,00677;343;380;0;161,314;163,194;290,773;285,57;278,969;277,948;2,8841;-42,4;9,01763;5,28072;277
155;0,6;10,1586;7,92054;343;380;0;166,956;167,824;290,773;285,57;278,969;277,948;2,8841;-42,4;9,01763;5,28072;277
156;0,6;10,0756;7,93277;343;380;0;169,994;169,85;290,773;285,57;278,969;277,948;2,8841;-42,4;9,01763;5,28072;277
157;0,6;10,0726;7,90301;343;380;0;171,152;171,296;290,773;285,57;278,969;277,948;2,8841;-42,4;9,01763;5,28072;277
158;0,6;10,0756;7,91137;343;380;0;172,02;172,309;290,781;284,945;278,871;277,89;4,63617;-39,225;8,49443;5,36672;277
159;0,6;10,024;7,88031;343;380;0;172,743;173,032;290,781;284,945;278,871;277,89;4,63617;-39,225;8,49443;5,36672;277
160;0,6;10,0481;7,88031;343;380;0;173,322;173,466;290,781;284,945;278,871;277,89;4,63617;-39,225;8,49443;5,36672;277
161;0,6;10,0103;7,84595;343;380;0;173,9;173,9;290,781;284,945;278,871;277,89;4,63617;-39,225;8,49443;5,36672;277
162;0,6;10,0275;7,85905;343;380;0;174,335;174,624;290,891;285,305;278,783;277,9;0,103586;-41,0251;8,13654;0,247532;277
163;0,6;9,98971;7,83807;343;380;0;174,769;174,913;290,891;285,305;278,783;277,9;0,103586;-41,0251;8,13654;0,247532;277
164;0,6;9,89723;7,78559;343;380;0;175,058;175,347;290,891;285,305;278,783;277,9;0,103586;-41,0251;8,13654;0,247532;277
165;0,6;9,90263;7,75951;343;380;0;175,781;175,781;290,891;285,305;278,783;277,9;0,103586;-41,0251;8,13654;0,247532;277
166;0,6;9,84903;7,73846;343;380;0;175,926;176,071;291,085;285,658;278,711;277,975;0;-42,7875;8,12919;-1,54358;277
167;0,6;9,81168;7,69943;343;380;0;176,36;176,505;291,085;285,658;278,711;277,975;0;-42,7875;8,12919;-1,54358;277
168;0,6;10,0794;7,73057;343;380;0;176,649;176,939;291,085;285,658;278,711;277,975;0;-42,7875;8,12919;-1,54358;277
169;0,6;10,1174;7,78598;343;380;0;177,083;177,083;291,085;285,658;278,711;277,975;0;-42,7875;8,12919;-1,54358;277
170;0,6;10,1346;7,7992;343;380;0;177,373;177,373;290,983;285,613;278,659;278,122;0;-42,5625;8,12919;-0,822505;277
171;0,6;10,1246;7,71742;343;380;0;177,517;177,662;290,983;285,613;278,659;278,122;0;-42,5625;8,12919;-0,822505;277
172;0,6;10,1073;7,68354;343;380;0;177,662;177,807;290,983;285,613;278,659;278,122;0;-42,5625;8,12919;-0,822505;277
173;0,6;10,0682;7,66333;343;380;0;177,662;177,807;290,983;285,613;278,659;278,122;0;-42,5625;8,12919;-0,822505;277
174;0,6;9,95189;7,60295;343;380;0;177,807;177,951;290,878;285,825;278,629;278,312;0;-43,6375;8,12919;-1,23516;277
175;0,6;9,90854;7,55815;343;380;0;178,096;178,241;290,878;285,825;278,629;278,312;0;-43,6375;8,12919;-1,23516;277
176;0,6;9,98387;7,58373;343;380;0;178,241;178,241;290,878;285,825;278,629;278,312;0;-43,6375;8,12919;-1,23516;277
177;0,6;9,99343;7,54507;343;380;0;178,385;178,53;290,878;285,825;278,629;278,312;0;-43,6375;8,12919;-1,23516;277
178;0,6;9,96176;7,50583;343;380;0;178,53;178,53;290,762;285,59;278,624;278,548;0;-42,475;8,12919;0,679732;277
179;0,6;9,94146;7,52904;343;380;0;178,675;178,819;290,762;285,59;278,624;278,548;0;-42,475;8,12919;0,679732;277
180;0,6;9,86575;7,52012;343;380;0;178,819;178,819;290,762;285,59;278,624;278,548;0;-42,475;8,12919;0,679732;277
181;0,6;9,79092;7,53644;343;380;0;178,819;178,964;290,762;285,59;278,624;278,548;0;-42,475;8,12919;0,679732;277
182;0,6;9,69514;7,48818;343;380;0;178,819;178,964;290,665;285,265;278,645;278,835;0,294778;-40,8625;8,06948;2,20564;277
183;0,6;9,59325;7,40174;343;380;0;178,964;178,964;290,665;285,265;278,645;278,835;0,294778;-40,8625;8,06948;2,20564;277
184;0,6;9,61089;7,41767;343;380;0;178,964;179,109;290,665;285,265;278,645;278,835;0,294778;-40,8625;8,06948;2,20564;277
185;0,6;9,63023;7,42222;343;380;0;178,964;179,109;290,665;285,265;278,645;278,835;0,294778;-40,8625;8,06948;2,20564;277
